class_name,col_va,col_offset,vtable_start,vtable_end,slot_count,slot3_value,stop_reason
.?AVArkChatUI@@,0x00AB3B08,0,0x00A925F0,0x00A925F8,2,0x00000000,non_code:0xab3b5c
.?AVArkChatUI_Impl@@,0x00AB3B5C,0,0x00A925FC,0x00A92744,82,0x00775CA0,non_code:0x0
.?AVArkDashboardUI_Impl@@,0x00AB3BB4,0,0x00A9274C,0x00A9286C,72,0x00775CA0,non_code:0xab3c0c
.?AV?$ComponentImpl@VArkDashboardUI_Impl@@@ArkUI@@,0x00AB3C0C,0,0x00A92870,0x00A92878,2,0x00000000,non_code:0xab3c58
.?AV?$WindowImpl@VArkDashboardUI_Impl@@@ArkUI@@,0x00AB3C58,0,0x00A9287C,0x00A92884,2,0x00000000,non_code:0xab3ca8
.?AVArkDashboardUI@@,0x00AB3CA8,0,0x00A92888,0x00A92898,4,0x00585180,non_code:0x3f800000
.?AVArkDashboardToolUI_Impl@@,0x00AB3CFC,0,0x00A928AC,0x00A929CC,72,0x00775CA0,non_code:0xab3d54
.?AV?$ComponentImpl@VArkDashboardToolUI_Impl@@@ArkUI@@,0x00AB3D54,0,0x00A929D0,0x00A929D8,2,0x00000000,non_code:0xab3da0
.?AV?$WindowImpl@VArkDashboardToolUI_Impl@@@ArkUI@@,0x00AB3DA0,0,0x00A929DC,0x00A929E4,2,0x00000000,non_code:0xab3df0
.?AVArkDashboardToolUI@@,0x00AB3DF0,0,0x00A929E8,0x00A92A48,24,0x00585180,non_code:0x394e
.?AV?$ComponentImpl@VArkValueSelectUI_Impl@@@ArkUI@@,0x00AB3E44,0,0x00A92B60,0x00A92B68,2,0x00000000,non_code:0xab3e90
.?AV?$WindowImpl@VArkValueSelectUI_Impl@@@ArkUI@@,0x00AB3E90,0,0x00A92B6C,0x00A92B74,2,0x00000000,non_code:0xab3ee0
.?AVArkValueSelectUI@@,0x00AB3EE0,0,0x00A92B78,0x00A92B80,2,0x00000000,non_code:0xab3f34
.?AVArkValueSelectUI_Impl@@,0x00AB3F34,0,0x00A92B84,0x00A92CD4,84,0x00775CA0,non_code:0x3e75c28f
.?AVArkIconBookUI@@,0x00AB3F8C,0,0x00A92CE4,0x00A92D9C,46,0x007E19D0,non_code:0xab4014
.?AVCheckBox@ArkUI@@,0x00AB4014,0,0x00A92DA0,0x00A92DB0,4,0x00585180,non_code:0xab4064
.?AVArkGenericConfirmUI@@,0x00AB4064,0,0x00A92DB4,0x00A92E44,36,0x007E19D0,non_code:0x0
.?AVArkGenericSelectUI@@,0x00AB4078,0,0x00A92E4C,0x00A92EDC,36,0x007E19D0,non_code:0x0
.?AVArkMessageBoxUI@@,0x00AB40C8,0,0x00A92EEC,0x00A92F7C,36,0x007E19D0,non_code:0x41454c50
.?AVArkMessageBoxUIObserver@@,0x00AB4118,0,0x00A92F98,0x00A92FA8,4,0x00892E30,non_code:0xab412c
.?AVArkGenericWindow@@,0x00AB412C,0,0x00A92FAC,0x00A93028,31,0x007E19D0,non_code:0x3f59999a
.?AV?$ComponentImpl@VArkNameUI_Impl@@@ArkUI@@,0x00AB4178,0,0x00A93040,0x00A93048,2,0x00000000,non_code:0xab41c4
.?AV?$WindowImpl@VArkNameUI_Impl@@@ArkUI@@,0x00AB41C4,0,0x00A9304C,0x00A93054,2,0x00000000,non_code:0xab4214
.?AVArkNameUI@@,0x00AB4214,0,0x00A93058,0x00A93060,2,0x00000000,non_code:0xab4268
.?AVArkNameUI_Impl@@,0x00AB4268,0,0x00A93064,0x00A9319C,78,0x00775CA0,non_code:0x2d27
.?AVArkGameUIFactoryInterface@@,0x00AB42C0,0,0x00A931A4,0x00A931AC,2,0x00000000,non_code:0x3f800000
.?AVArkBaseUI@@,0x00AB42D4,0,0x00A931BC,0x00A9324C,36,0x007E19D0,non_code:0x0
.?AVArkGenericProgressBarUI@@,0x00AB42E8,0,0x00A93254,0x00A932E4,36,0x007E19D0,non_code:0x726f6241
.?AVArkGenericMenuWindowUI@@,0x00AB4338,0,0x00A932F4,0x00A93394,40,0x007E19D0,non_code:0x0
.?AVArkMarketPriceUI_Impl@@,0x00AB4388,0,0x00A9339C,0x00A934BC,72,0x00775CA0,non_code:0xab43e0
.?AV?$ComponentImpl@VArkMarketPriceUI_Impl@@@ArkUI@@,0x00AB43E0,0,0x00A934C0,0x00A934C8,2,0x00000000,non_code:0xab442c
.?AV?$WindowImpl@VArkMarketPriceUI_Impl@@@ArkUI@@,0x00AB442C,0,0x00A934CC,0x00A934D4,2,0x00000000,non_code:0xab447c
.?AVArkMarketPriceUI@@,0x00AB447C,0,0x00A934D8,0x00A934FC,9,0x008ACDD0,non_code:0xab44d0
.?AV?$ComponentImpl@VArkMarketPriceGraphUI_Impl@@@ArkUI@@,0x00AB44D0,0,0x00A93500,0x00A93508,2,0x00000000,non_code:0xab451c
.?AV?$WindowImpl@VArkMarketPriceGraphUI_Impl@@@ArkUI@@,0x00AB451C,0,0x00A9350C,0x00A93514,2,0x00000000,non_code:0xab456c
