file,ext_len,subclass43,ext_hex,mesh,morph,skin,particle,blocks,mirror
246774.nif,85,,03000000010000404002000000faffff3408c9f640666630c0db0fc93f00000000000000005581a542c2b8323f01000000fce3e1c07e8cf0409a9903c0db0fc93f00000000fb04413f7b548742c2b8323f01000000,1,0,0,0,12,1
246784.nif,85,,0300000001000040400200000000000000d6ee0b416f64dabfdb0fc93f0000000000000000d95f6042c2b8323f01000000d68b7f40d10509403c88f5c0dede393f0000000001108abf80773642c2b8323f01000000,1,0,0,0,12,1
246791.nif,85,,0300000001000040400200000000000000cba1ce40b1fc35bfdb0fc93f0000000000000000fce96b42c2b8323f01000000a7224fc0ed818d4072e138c0d3878e3f000000003fbe213f4df33042c2b8323f01000000,1,0,0,0,12,1
246809.nif,85,,0300000001000040400200000008bd883caccaf64068cf453fdb0fc93f000000000000000001cd9742c2b8323f01000000f2ea764096ec8f4054e31bc06a02803f0000000019d407bf00a08a42c2b8323f01000000,1,0,0,0,12,1
246812.nif,85,,03000000010000404002000000f3ffbf35268db93fec1714c1000000000000000000000000359e4c42c3b8323f02000000d5959f3f2102304051e60dc13bef303e89c3643bf366dfbe91fe7e42c3b8323f02000000,1,0,0,0,12,1
246817.nif,85,,0300000001000040400200000000000000c155fe3d36cd36c1000000000000000000000000c5809342c2b8323f010000000000803fc155fe3d36cd36c10000000000000000150517bf56ce7342c2b8323f01000000,1,0,0,0,12,1
246822.nif,85,,03000000010000404002000000d2a925c091d05cc095f17fc0e4cb96400000000000000000ff92ba42c3b8323f01000000a2983c3c91d05cc095f17fc06db384bf000000009ddd0ec0ff929042c3b8323f01000000,1,0,0,0,12,1
246828.nif,85,,03000000010000404002000000ebaf113b707754402315c3c0db0fc93f00000000000000009d11a742c2b8323f0100000050e492405c8fc9c0f0f9a240c5e5144000000000e3bc20c07a075b42c2b8323f01000000,1,0,0,0,12,1
246833.nif,85,,03000000010000404002000000000000000000000000000000db0fc93f00000000000000000000c842c2b8323f0100000099d30bc026e4b73f1fa24fc07cd9203f66a83b3fff5e85bf19332942c2b8323f01000000,1,0,0,0,12,1
246836.nif,85,,030000000100004040020000007c4a09bd342e02407b665dc0e4cb964000000000db0f494018954442c2b8323f0100000059a62bbfd8d8f53fe2cc23c0e4cb964000000000d4805d407ffb2642c2b8323f01000000,1,0,0,0,12,1
246839.nif,85,,030000000100004040020000000f008034402f7c3fcf2c81bfdb0fc93f000000000000000051da1f42c2b8323f010000006c92afbe75cc253f3714a1bb0805ac3f000000001951f93eb150fd41c2b8323f01000000,1,0,0,0,12,1
246842.nif,85,,0300000001000040400200000000191f3dfe3d22bde2e96ac100000000000000000000000094e78d42c2b8323f01000000ff47bf3bfff861bde2e96ac10000000000000000a6922bbf5b027542c2b8323f01000000,1,0,0,0,12,1
246845.nif,85,,03000000010000404002000000ef8f943a404dbcc074d4093fe4cb96400000000000000000e3568f42c2b8323f010000005a0d3dc0b32414c0800e924034dc224000000000748481c066b72c42c2b8323f01000000,1,0,0,0,12,1
246445.nif,85,,03000000010000404002000000a96aa6403319e6bebf486cc0172b483ca574bfbf000000002b583c42c3b8323f01000000bf2b24c0035b0d402a91adc05ce4a83e512016be98ff273e6d272d42c3b8323f01000000,1,0,0,0,12,1
246453.nif,85,,03000000010000404002000000fef1bc4000000000faff7f3500000000e4cb964000000000ec807942c3b8323f010000003255b7401fd7b6bf060000361e206abe50c09840dd357abeeb624442c3b8323f01000000,1,0,0,0,12,1
246458.nif,85,,0300000001000040400200000092cbc7be404d11c0886854c0e4cb96400000000000000000c2466542c3b8323f0100000092cbc7be404d11c0543521c0f8c0a34088304cbf7de816408f135042c3b8323f01000000,1,0,0,0,12,1
247785.nif,85,,030000000100004040020000009a99c940ba2c324000000000db0fc93f00000000000000006dc55c42c3b8323f01000000d5b29dbf9088e53fd427753f077293be4e5125bfdb0fc93fd2805042c3b8323f01000000,1,0,0,0,12,1
246465.nif,85,,030000000100004040020000000e38813c9e41be4035d2fc40e4cb964000000000db0f494037098a42c3b8323f01000000986e18401c5f5540c976d840ef8fa9407cd9a0be954e234087f68042c3b8323f01000000,1,0,0,0,12,1
246468.nif,85,,030000000100004040020000000054f13ce1ee0240f9d978bedb0fc93f000000000000000003497742c3b8323f010000000054f13ce1ee0240f9d978be8477023f56ef863e7d6c39bf03497742c3b8323f01000000,1,0,0,0,12,1
246497.nif,85,,030000000100004040020000001b2ab0c00000000010cdccbe00000000db0fc93f00000000aa207d42c3b8323f010000001b2ab0c00000000010cdccbe00000000db0fc93f0000000077ed6342c3b8323f01000000,1,0,0,0,18,1
246500.nif,85,,0300000001000040400200000089d296bfbdd0b23d32e62cc1000000000000000000000000a3218a42c3b8323f01000000969536bebdd0b23d32e62cc135fa8e3e790ab0be7cc3793f7a766542c3b8323f01000000,1,0,0,0,12,1
246505.nif,85,,03000000010000404002000000c190b53e84652cbd9a99834100000000db0f4940000000008bec8a42c3b8323f010000000a662c3d761abec004e763417e665fbe28dd3940cf6d124087966d42c3b8323f01000000,1,0,0,0,12,1
246508.nif,85,,03000000010000404002000000000000000600003668790ec100000000000000000000000035fe0b43c3b8323f0100000001872ec0ce365f4001f7c4bea2c3ba3e5815383e68e413bf31e8a842c3b8323f01000000,1,0,0,0,12,1
247788.nif,85,,0300000001000040400200000058710abe161886403f5f89bddb0fc93f0000000000000000f2b01342c3b8323f0100000058710abe16188640ad2fe2bff366df3e113626be8f3b953ebf7d3a42c3b8323f01000000,1,0,0,0,12,1
246519.nif,85,,0300000001000040400200000000000000cdcc0c4020ef07c10000000000000000000000007dbf3442c3b8323f0100000000000000cdcc0c407311e3c064828a3e0998c43d0000000031591442c3b8323f01000000,1,0,0,0,12,1
246524.nif,85,,03000000010000404002000000449199bd5d6a343e86c991c100000000000000000000000066b7a242c3b8323f0100000086c99141009199bd5d6a34bee4cb9640000000000cbef53fab2f9042c3b8323f01000000,1,0,0,0,12,1
246532.nif,85,,0300000001000040400200000048c49cbf0358893a74411fc1000000000000000000000000087d1f428c92553f0100000048c49cbf0358893a74411fc10000000000000000ee71bd3ea993e8418c92553f01000000,1,0,0,0,12,1
246535.nif,85,,0300000001000040400200000083079cbd95469c3e2ffd0b3edb0fc93f0000000000000000d5785d42c3b8323f0100000083079cbd95469c3e2ffd0b3ea11a7b3fdedeb9be10a30d3f37898a42c3b8323f01000000,1,0,0,0,13,1
246548.nif,85,,030000000100004040020000000808a03b59ddce3f7ee4963edb0fc93f0000000000000000d8108042c3b8323f010000004f06e73f59ddce3f7ee4963e04a3a23e7a9d483f1698afbf4abb5d42c3b8323f01000000,1,0,0,0,12,1
246538.nif,85,,03000000010000404002000000fe0e85bdbf48b43f844757c0000000005077d63e63d94abf7d8e8342c3b8323f01000000fe0e85bdbf48b43fb77a0ac001fa62bea2c3ba3e6a0200c0c7e97342c3b8323f01000000,1,0,0,0,12,1
240383.nif,85,,03000000010000404002000000d0b368417a53a140c22fc0c0e104ebbef25e9a3f382040c0cb50c142c3b8323f02000000d0b368417a53a140c22fc0c0e104ebbef25e9a3f382040c0cb50c142c3b8323f02000000,1,0,0,0,16,1
240404.nif,85,,030000000100004040020000008087ad3d1aa26ebff90f5fc10000000000000000cb56943e283e8842c3b8323f0100000023a18ac00b4635c11bf5cdc072ff663f000000000ab63040238a4242c3b8323f01000000,1,0,0,0,12,1
240411.nif,85,,030000000100004040020000000000000000000000c4b157c10000000000000000000000009a598342c3b8323f010000000000000000000000c4b157c1b571fa3d65c72fbeaa7a863f9a194542c3b8323f01000000,1,0,0,0,12,1
240416.nif,85,,030000000100004040020000008ffc02c1a48a523e55f6dac00000000000000000e4cb9640a0497d42c3b8323f01000000ebc5e2c0a48a523e55f6dac0dede39bdfdad803cb5b08240a0495d42c3b8323f01000000,1,0,0,0,12,1
240419.nif,85,,030000000100004040020000007e00963fe8bcab40c74b3bc09cce183fb5252f3e475c03bff853f542c3b8323f020000007e00963fe8bcab40c74b3bc09cce183fb5252f3e475c03bff853f542c3b8323f02000000,1,0,0,0,16,1
246019.nif,85,,0300000001000040400200000000000000faffff34c66d23c10000000000000000e4cb96403237c442c3b8323f0200000000000000faffff34c66d23c10000000000000000e4cb9640656a9b42c3b8323f02000000,1,0,0,0,12,1
246023.nif,85,,0300000001000040400200000000000000000000000000000000000000db0fc93fe4cb964000008e42c3b8323f01000000000000000000000000000000000000003fa0b53f34dca2409a995d42c3b8323f01000000,1,0,0,0,12,1
240422.nif,85,,030000000100004040020000000000000000000000000000000000000000000000db0fc93f0000c842c3b8323f01000000cdcc8cc00000000000000000bfe9c1beebc87d3e32246d4000007442c3b8323f01000000,1,0,0,0,12,1
246042.nif,85,,03000000010000404002000000000040c05647a6be0f00803400000000db0fc93fdb0fc93f9d11e641c3b8323f010000004f9329be7b685f3ed1ae32becfa2763ffe2a723fc2a9bc407424cd41c3b8323f01000000,1,0,0,0,12,1
246050.nif,85,,030000000100004040020000000000000000000000c7f4a8c00000000000000000000000002d035942c3b8323f010000000000c03f00000000666646c0cfb81d3ff40f9f3e89d90bbf33331f42c3b8323f01000000,1,0,0,0,12,1
246057.nif,85,,0300000001000040400200000096048cc0226ca2c0fe2b4dc07661f0be3ea87a3f438d123fc64da142c2b8323f0100000096048cc0226ca2c0fe2b4dc07661f0be3ea87a3f438d123fc64da142c2b8323f01000000,1,0,0,0,12,1
246065.nif,85,,03000000010000404002000000516b22c0548c04414e7a09c042e4d23d1fc9a93f88bb9fbf37c99e42c3b8323f02000000516b22c0548c04414e7a09c042e4d23d1fc9a93f88bb9fbf37c99e42c3b8323f02000000,1,0,0,0,16,1
246069.nif,85,,03000000010000404002000000cedfee40221922bf796998c160b399bd780ab0be5346c73e00efb442c2b8323f020000001101edc03e3f90bf796998c160b399bd780ab0beac1221c0aee79542c2b8323f02000000,1,0,0,0,15,1
