file,flag_state,nif_version,exporter,mesh,morph,skin,blocks,geom_triangles,entry_count,mirror
168195.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,54,1,1
194771.nif,000000,4.1.0.12,4.1.0.12,1,0,0,10,132,1,1
194800.nif,000000,4.1.0.12,4.1.0.12,1,0,0,10,132,1,1
194804.nif,000000,4.1.0.12,4.1.0.12,1,0,0,10,132,1,1
194808.nif,000000,4.1.0.12,4.1.0.12,1,0,0,10,132,1,1
168211.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,216,1,1
194812.nif,000000,4.1.0.12,4.1.0.12,1,0,0,10,528,1,1
194815.nif,000000,4.1.0.12,4.1.0.12,1,0,0,10,528,1,1
194818.nif,000000,4.1.0.12,4.1.0.12,1,0,0,10,528,1,1
194821.nif,000000,4.1.0.12,4.1.0.12,1,0,0,10,528,1,1
354419.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,14,2760,1,1
168227.nif,000000,4.1.0.12,4.1.0.12,1,0,0,12,44,1,1
192553.nif,000000,4.1.0.12,4.1.0.12,1,0,0,55,382,5,1
337380.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,9,613,1,1
337383.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,9,502,1,1
337386.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,9,228,1,1
337813.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,10,1252,1,1
168407.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,184,1,1
147588.nif,000000,4.1.0.12,4.0.0.2,1,0,0,56,198,5,1
59715.nif,000000,4.1.0.12,4.0.0.2,1,0,0,19,56,2,1
59669.nif,000000,4.1.0.12,4.0.0.2,1,0,0,19,72,2,1
59673.nif,000000,4.1.0.12,4.0.0.2,1,0,0,11,66,1,1
59720.nif,000000,4.1.0.12,4.0.0.2,1,0,0,11,64,1,1
183293.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,140,1,1
183328.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,244,1,1
183385.nif,000000,4.1.0.12,4.1.0.12,1,0,0,22,204,4,1
183411.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,332,1,1
50113.nif,000000,4.1.0.12,4.1.0.12,1,0,0,86,616,12,1
178207.nif,000000,4.1.0.12,4.1.0.12,1,0,0,86,616,12,1
283475.nif,000000,4.1.0.12,4.1.0.12,1,0,0,39,212,6,1
50126.nif,000000,4.1.0.12,4.1.0.12,1,0,0,86,616,12,1
41284.nif,000000,4.1.0.12,4.0.0.2,1,0,0,32,166,8,1
28939.nif,0000ff,4.1.0.12,4.0.0.2,1,0,0,51,166,51,1
34752.nif,000000,4.1.0.12,4.0.0.2,1,0,0,34,228,38,1
132061.nif,000000,4.1.0.12,4.0.0.2,1,0,0,25,236,20,1
121728.nif,000000,4.1.0.12,4.0.0.2,1,0,1,62,1306,2,1
121672.nif,000000,4.1.0.12,4.0.0.2,1,0,0,24,660,3,1
224274.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,1629,4,1
224302.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,1621,4,1
224312.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,1561,4,1
224320.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,1621,4,1
227811.nif,000000,4.1.0.12,4.1.0.12,1,0,0,16,796,2,1
227821.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,756,1,1
227193.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,25,1634,4,1
227218.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,25,1760,4,1
227334.nif,000000,4.1.0.12,4.1.0.12,1,0,0,40,1565,8,1
343727.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,25,1634,4,1
36718.nif,000000,4.1.0.12,4.0.0.0,1,0,0,28,394,4,1
36719.nif,000000,4.1.0.12,4.0.0.0,1,0,0,22,386,3,1
36720.nif,000000,4.1.0.12,4.0.0.0,1,0,0,49,494,8,1
192858.nif,000000,4.1.0.12,4.1.0.12,1,0,0,20,529,4,1
192882.nif,000000,4.1.0.12,4.1.0.12,1,0,0,20,529,4,1
192891.nif,000000,4.1.0.12,4.1.0.12,1,0,0,45,1230,6,1
192900.nif,000000,4.1.0.12,4.1.0.12,1,0,0,45,1230,6,1
192909.nif,000000,4.1.0.12,4.1.0.12,1,0,0,20,519,4,1
193050.nif,000000,4.1.0.12,4.1.0.12,1,0,0,48,519,12,1
192917.nif,000000,4.1.0.12,4.1.0.12,1,0,0,21,178,3,1
192924.nif,000000,4.1.0.12,4.1.0.12,1,0,0,26,331,2,1
192929.nif,000000,4.1.0.12,4.1.0.12,1,0,0,20,517,4,1
40151.nif,000000,4.1.0.12,4.0.0.0,1,0,0,29,164,4,1
40611.nif,000000,4.1.0.12,4.0.0.0,1,0,0,38,248,6,1
224512.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,909,4,1
203280.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,14,1641,4,1
203289.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,14,1641,4,1
203317.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,14,1641,4,1
40612.nif,000000,4.1.0.12,4.0.0.0,1,0,0,116,948,22,1
40613.nif,000000,4.1.0.12,4.0.0.0,1,0,0,116,948,22,1
40614.nif,000000,4.1.0.12,4.0.0.2,1,0,0,11,948,1,1
40615.nif,000000,4.1.0.12,4.0.0.0,1,0,0,116,948,22,1
203329.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,1335,4,1
203341.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,1205,4,1
203351.nif,000000,4.1.0.12,4.1.0.12,1,0,0,15,1335,4,1
