entry_index,name,size_stored,offset,size_plain,compression,sha256_stored,sha256_plain,header_string,version_hex,version_label,header_version_text,text_version_match,field_c,field_d,scan_status
2660,523431.nif,90514,267412891,90514,raw,011B53BDD36369AE1D4C45607DC9FF388353626F275CC04FE26DAC42108CA2B4,011B53BDD36369AE1D4C45607DC9FF388353626F275CC04FE26DAC42108CA2B4,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x2A28E3C5,0x2A28E3C5,SCANNED
2661,214322.nif,4027,267503405,4027,raw,3465CB186D14CB3C5223F02A7FF88C38F06824B595A5A8381E42F86111CF1289,3465CB186D14CB3C5223F02A7FF88C38F06824B595A5A8381E42F86111CF1289,"NetImmerse File Format, Version 4.1.0.12",0x0401000C,4.1.0.12,4.1.0.12,MATCH,0x51CE244F,0x51CE244F,SCANNED
2662,225093.nif,3753,267507432,3753,raw,C925BC73A810D70044E2DC58D6450903DAD419322BB5C05AC69BB53568F64194,C925BC73A810D70044E2DC58D6450903DAD419322BB5C05AC69BB53568F64194,"NetImmerse File Format, Version 4.1.0.12",0x0401000C,4.1.0.12,4.1.0.12,MATCH,0xF9B1E17A,0xF9B1E17A,SCANNED
2663,112340.nif,2098,267511185,2098,raw,D858082138116B84C9A0706DB040DD45B5B1BC7F59A3EB99D25B6E695017C24A,D858082138116B84C9A0706DB040DD45B5B1BC7F59A3EB99D25B6E695017C24A,"NetImmerse File Format, Version 4.1.0.12",0x0401000C,4.1.0.12,4.1.0.12,MATCH,0xE04684A1,0xE04684A1,SCANNED
2664,397398.nif,4424,267513283,4424,raw,F2AA1D0CC96B346C6A515201F22B6B436527E17BECF356854AAFECA89FECA855,F2AA1D0CC96B346C6A515201F22B6B436527E17BECF356854AAFECA89FECA855,"NetImmerse File Format, Version 4.1.0.12",0x0401000C,4.1.0.12,4.1.0.12,MATCH,0x70A50C0F,0x70A50C0F,SCANNED
2665,540071.nif,7389,267517707,7389,raw,0EEFCE5B5C9FA3C809A4ECD492A2CF903674F0976306897B7E249C6A32DDFB86,0EEFCE5B5C9FA3C809A4ECD492A2CF903674F0976306897B7E249C6A32DDFB86,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xC578A4D5,0xC578A4D5,SCANNED
2666,540075.nif,8115,267525096,8115,raw,C823A5E814D27C4E4FF6AD83671D499576D9E8C01B68CF810379AACDC9DFD28E,C823A5E814D27C4E4FF6AD83671D499576D9E8C01B68CF810379AACDC9DFD28E,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xFC7ADC73,0xFC7ADC73,SCANNED
2667,524484.nif,3667,267533211,3667,raw,021838BB5A5C44D3C1F828040490F6B8B52A4B98AA21BE08553880619A170A67,021838BB5A5C44D3C1F828040490F6B8B52A4B98AA21BE08553880619A170A67,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xB760CEC9,0xB760CEC9,SCANNED
2668,540069.nif,11591,267536878,11591,raw,66E3414D61D5A2A765B81BD8820ABB2DF9C6BC70780EE6310D1990E09D1D61C6,66E3414D61D5A2A765B81BD8820ABB2DF9C6BC70780EE6310D1990E09D1D61C6,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xF054D2D2,0xF054D2D2,SCANNED
2669,540070.nif,7199,267548469,7199,raw,C4979B9A6ECE91EF211E0CF49DDEFD5A7AE933DCADB983590BB5B960D9B29884,C4979B9A6ECE91EF211E0CF49DDEFD5A7AE933DCADB983590BB5B960D9B29884,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xC0D5FE56,0xC0D5FE56,SCANNED
2670,588770.nif,7121,267555668,7121,raw,A466D7CF726203B2151A2CAECF7D6B08CF8B3253AF97737A5D0D1774C2849436,A466D7CF726203B2151A2CAECF7D6B08CF8B3253AF97737A5D0D1774C2849436,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xC17F746C,0xC17F746C,SCANNED
2671,588772.nif,22457,267562789,22457,raw,E80B4B014FEC9F6B04458CC0170CB40DCC9A0F2FB39CF0D1F4B998B4BD96EADA,E80B4B014FEC9F6B04458CC0170CB40DCC9A0F2FB39CF0D1F4B998B4BD96EADA,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x296A2634,0x296A2634,SCANNED
2672,524491.nif,16985,267585246,16985,raw,CA490F25BB85E25A3F67CFF954DAC2A4A7B5D6B4CF1BB799FA2FB57BC6DF4069,CA490F25BB85E25A3F67CFF954DAC2A4A7B5D6B4CF1BB799FA2FB57BC6DF4069,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xA1BEB5C7,0xA1BEB5C7,SCANNED
2673,524488.nif,6191,267602231,6191,raw,BB86342F465109FD08E8439C149AE4634FD352F6C130E664B8BFEE27856B9013,BB86342F465109FD08E8439C149AE4634FD352F6C130E664B8BFEE27856B9013,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xBC00C97D,0xBC00C97D,SCANNED
